"subject_id"	"activity_id"	"activity"	"mean"
1	1	"WALKING"	0.0732545159446702
2	1	"WALKING"	0.0824497721727512
3	1	"WALKING"	0.0671284316334129
4	1	"WALKING"	0.11863954883208
5	1	"WALKING"	0.104335014607542
6	1	"WALKING"	0.0937378596678748
7	1	"WALKING"	0.07463825566531
8	1	"WALKING"	0.0630421666415412
9	1	"WALKING"	0.0988414559349783
10	1	"WALKING"	0.111268974416484
11	1	"WALKING"	0.104305669967978
12	1	"WALKING"	0.0968228759094375
13	1	"WALKING"	0.0631997209418485
14	1	"WALKING"	0.0228786226017898
15	1	"WALKING"	0.0962433370844426
16	1	"WALKING"	0.0798167785809692
17	1	"WALKING"	0.0693154377657346
18	1	"WALKING"	0.0776697322764055
19	1	"WALKING"	0.0752331682397155
20	1	"WALKING"	0.0660277828098318
21	1	"WALKING"	0.0429293990487526
22	1	"WALKING"	0.0847058742071134
23	1	"WALKING"	0.0777052408473237
24	1	"WALKING"	0.0859964806032404
25	1	"WALKING"	0.118280986809186
26	1	"WALKING"	0.110848471297514
27	1	"WALKING"	0.0813376808525934
28	1	"WALKING"	0.0787600216026732
29	1	"WALKING"	0.110237528051965
30	1	"WALKING"	0.0979296877377646
1	2	"WALKING_UPSTAIRS"	0.0538927556226053
2	2	"WALKING_UPSTAIRS"	0.0277508923703072
3	2	"WALKING_UPSTAIRS"	0.0386594176646507
4	2	"WALKING_UPSTAIRS"	0.0930241341951027
5	2	"WALKING_UPSTAIRS"	0.0738352844924574
6	2	"WALKING_UPSTAIRS"	0.0676828559754997
7	2	"WALKING_UPSTAIRS"	0.0319854929674428
8	2	"WALKING_UPSTAIRS"	0.0357475422720938
9	2	"WALKING_UPSTAIRS"	0.0781294024075687
10	2	"WALKING_UPSTAIRS"	0.105901227398224
11	2	"WALKING_UPSTAIRS"	0.0844952022445631
12	2	"WALKING_UPSTAIRS"	0.0766592815040101
13	2	"WALKING_UPSTAIRS"	0.0443482415028163
14	2	"WALKING_UPSTAIRS"	-0.00749003749774611
15	2	"WALKING_UPSTAIRS"	0.0783459859996748
16	2	"WALKING_UPSTAIRS"	0.0475950768012378
17	2	"WALKING_UPSTAIRS"	0.0379227786013932
18	2	"WALKING_UPSTAIRS"	0.0610589189805518
19	2	"WALKING_UPSTAIRS"	0.0216278243546283
20	2	"WALKING_UPSTAIRS"	0.0220444673466384
21	2	"WALKING_UPSTAIRS"	0.00647324948098121
22	2	"WALKING_UPSTAIRS"	0.048414517497543
23	2	"WALKING_UPSTAIRS"	0.029503518195539
24	2	"WALKING_UPSTAIRS"	0.0522031046308521
25	2	"WALKING_UPSTAIRS"	0.0950496846214394
26	2	"WALKING_UPSTAIRS"	0.0819096744358567
27	2	"WALKING_UPSTAIRS"	0.0532043374565286
28	2	"WALKING_UPSTAIRS"	0.042125728747356
29	2	"WALKING_UPSTAIRS"	0.08428241393221
30	2	"WALKING_UPSTAIRS"	0.0808844742364727
1	3	"WALKING_DOWNSTAIRS"	0.0763572322637564
2	3	"WALKING_DOWNSTAIRS"	0.0679129561380827
3	3	"WALKING_DOWNSTAIRS"	0.0803475042266345
4	3	"WALKING_DOWNSTAIRS"	0.12251354571579
5	3	"WALKING_DOWNSTAIRS"	0.112007776891985
6	3	"WALKING_DOWNSTAIRS"	0.0894321269758955
7	3	"WALKING_DOWNSTAIRS"	0.0846654252695549
8	3	"WALKING_DOWNSTAIRS"	0.0766831365381003
9	3	"WALKING_DOWNSTAIRS"	0.103555966680766
10	3	"WALKING_DOWNSTAIRS"	0.107609111377323
11	3	"WALKING_DOWNSTAIRS"	0.106173479674254
12	3	"WALKING_DOWNSTAIRS"	0.0890522456895477
13	3	"WALKING_DOWNSTAIRS"	0.0844243202660629
14	3	"WALKING_DOWNSTAIRS"	0.0292226419669296
15	3	"WALKING_DOWNSTAIRS"	0.104444392037469
16	3	"WALKING_DOWNSTAIRS"	0.0792877114410827
17	3	"WALKING_DOWNSTAIRS"	0.0743211185093542
18	3	"WALKING_DOWNSTAIRS"	0.0837214324403413
19	3	"WALKING_DOWNSTAIRS"	0.0761048882461938
20	3	"WALKING_DOWNSTAIRS"	0.0845164066905133
21	3	"WALKING_DOWNSTAIRS"	0.0569683954245955
22	3	"WALKING_DOWNSTAIRS"	0.0895313097346266
23	3	"WALKING_DOWNSTAIRS"	0.0838998840498389
24	3	"WALKING_DOWNSTAIRS"	0.0873314672472096
25	3	"WALKING_DOWNSTAIRS"	0.127130992310728
26	3	"WALKING_DOWNSTAIRS"	0.120331927451484
27	3	"WALKING_DOWNSTAIRS"	0.0850707083857764
28	3	"WALKING_DOWNSTAIRS"	0.0790670175401878
29	3	"WALKING_DOWNSTAIRS"	0.116169101488633
30	3	"WALKING_DOWNSTAIRS"	0.104607890523032
1	4	"SITTING"	0.162451327887299
2	4	"SITTING"	0.121124022795667
3	4	"SITTING"	0.140891992788569
4	4	"SITTING"	0.143636533083097
5	4	"SITTING"	0.142192834393116
6	4	"SITTING"	0.1264634516044
7	4	"SITTING"	0.120751813560148
8	4	"SITTING"	0.158954928069663
9	4	"SITTING"	0.117924070199874
10	4	"SITTING"	0.118568302986376
11	4	"SITTING"	0.150669204535766
12	4	"SITTING"	0.129916043148878
13	4	"SITTING"	0.132378766606864
14	4	"SITTING"	0.100542612245573
15	4	"SITTING"	0.132326141638521
16	4	"SITTING"	0.116463983611168
17	4	"SITTING"	0.0979086663176638
18	4	"SITTING"	0.142577146001039
19	4	"SITTING"	0.179243527632488
20	4	"SITTING"	0.135714067991252
21	4	"SITTING"	0.108949141941515
22	4	"SITTING"	0.162351619251848
23	4	"SITTING"	0.132638979899925
24	4	"SITTING"	0.143662611794838
25	4	"SITTING"	0.148234017445021
26	4	"SITTING"	0.159544701486816
27	4	"SITTING"	0.158383343293822
28	4	"SITTING"	0.112118794299058
29	4	"SITTING"	0.155638499143027
30	4	"SITTING"	0.154730642924311
1	5	"STANDING"	0.084077559617307
2	5	"STANDING"	0.0820920760689287
3	5	"STANDING"	0.0823833297372159
4	5	"STANDING"	0.126092882466986
